uri,wuri,tag,uri,diff,tot,miss,ratio,Person,Organisation,Company,SportsTeam,EducationalInstitution,PoliticalParty,Work,Document,MusicalWork,Film,Event,SocietalEvent,Activity,Place,PopulatedPlace,Country,ArchitecturalStructure,NaturalPlace,NaturalEvent,on,in,at,since,for,ago,before,to,past,from,till,until,by,year,sec,p_count,uri
http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/award,0,award,825,1812,184,0.455298013,92,70,8,2,7,1,18,0,3,11,2,5,0,15,18,7,5,0,0,13,40,13,0,21,0,2,20,1,3,0,0,7,53,11,1001,award
http://dbpedia.org/ontology/partner,http://dbpedia.org/ontology/partner,1,partner,83,1052,152,0.078897338,905,1,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,16,4,0,4,0,0,5,0,2,0,0,3,40,8,1001,partner
http://dbpedia.org/ontology/spouse,http://dbpedia.org/ontology/spouse,1,spouse,226,1906,82,0.118572928,862,1,2,0,0,2,1,0,1,10,0,0,0,0,0,0,0,0,0,2,11,4,0,3,0,1,6,0,2,0,0,4,15,10,1001,spouse
http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/party,1,party,262,1928,66,0.135892116,32,869,1,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,0,2,0,0,25,0,6,0,0,5,32,7,1001,party
http://dbpedia.org/ontology/debutTeam,http://dbpedia.org/ontology/director,1,debutTeam,153,1105,853,0.138461538,0,749,3,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,0,11,0,1,8,1,1,0,0,12,34,13,1001,debutTeam
http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/residence,1,residence,279,1779,217,0.15682968,51,0,0,0,0,0,0,0,0,0,3,3,0,899,856,176,39,0,0,88,185,118,1,104,0,8,146,1,54,0,8,68,284,101,1001,residence
http://dbpedia.org/ontology/position,http://dbpedia.org/ontology/position,1,position,406,1915,85,0.212010444,505,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,69,17,0,50,0,1,43,0,9,0,1,35,212,42,1001,position
http://dbpedia.org/ontology/education,http://dbpedia.org/ontology/education,1,education,415,1835,163,0.226158038,23,648,9,0,638,0,12,0,0,0,1,0,0,77,64,10,14,0,0,19,34,22,0,15,0,3,27,0,9,0,0,14,83,16,1001,education
http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer,1,employer,431,1890,84,0.228042328,107,674,269,16,190,2,76,0,0,2,0,0,0,12,2,4,6,0,0,60,88,40,0,60,0,8,71,1,31,0,3,31,172,54,1001,employer
http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/team,1,team,319,1366,615,0.233528551,10,966,5,971,36,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,45,17,2,35,0,2,40,0,10,0,1,21,80,34,1001,team
http://dbpedia.org/ontology/formerTeam,,1,formerTeam,497,1954,35,0.254350051,1,737,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,51,17,0,45,0,5,43,1,7,0,0,47,129,50,1001,formerTeam
http://dbpedia.org/ontology/philosophicalSchool,,1,philosophicalSchool,279,1090,46,0.255963303,27,199,25,0,2,0,57,0,0,0,0,0,0,2,5,12,0,0,0,41,114,22,0,47,0,4,91,1,35,0,0,50,98,40,1001,philosophicalSchool
http://dbpedia.org/ontology/influenced,,1,influenced,495,1886,113,0.262460233,896,33,3,0,0,4,8,0,0,2,0,0,0,7,6,4,0,0,0,32,66,22,2,36,0,2,54,1,14,0,2,33,67,28,1001,influenced
http://dbpedia.org/ontology/billed,,1,billed,291,1075,90,0.270697674,77,2,0,0,0,0,6,0,4,2,1,1,0,826,820,227,5,5,0,61,112,48,1,60,0,2,67,0,35,0,1,35,190,45,1001,billed
http://dbpedia.org/ontology/influencedBy,,1,influencedBy,526,1884,116,0.279193206,930,26,3,0,0,1,10,0,1,1,1,1,0,3,3,5,0,0,0,44,129,42,3,55,0,4,103,0,36,0,0,70,109,45,1001,influencedBy
http://dbpedia.org/ontology/mainInterest,,1,mainInterest,333,1169,46,0.284858854,76,470,62,0,2,0,89,0,0,0,3,3,0,13,17,4,4,0,0,109,212,50,2,116,0,2,143,2,56,0,2,63,213,59,1001,mainInterest
http://dbpedia.org/ontology/voice,,1,voice,167,580,34,0.287931034,570,13,11,0,0,0,81,0,0,61,0,0,0,0,0,0,0,0,0,12,29,5,1,7,0,1,15,0,6,0,0,13,23,14,615,voice
http://dbpedia.org/ontology/board,,1,board,209,723,51,0.289073306,37,540,318,19,89,6,13,0,0,0,6,6,0,79,14,6,62,0,0,40,36,15,1,27,0,1,26,0,8,0,0,15,92,16,782,board
