prop,subj,obj,diff,tot
http://dbpedia.org/property/ruProvince,http://dbpedia.org/resource/Corné_Krige,http://dbpedia.org/resource/Western_Province_(rugby_team),277,1598
http://dbpedia.org/property/debutleague,http://dbpedia.org/resource/Miguel_Tejada,obj,36,1981
http://dbpedia.org/property/commands,http://dbpedia.org/resource/Ivan_Bagramyan,obj,diff,tot
http://dbpedia.org/property/residence,http://dbpedia.org/resource/Arthur_Eve,obj,diff,tot
http://dbpedia.org/property/workInstitutions,http://dbpedia.org/resource/Maxime_Bôcher,http://dbpedia.org/resource/Harvard_University,544,1852
http://dbpedia.org/property/debutteam,http://dbpedia.org/resource/Shaun_Alexander,obj,diff,tot
http://dbpedia.org/property/children,http://dbpedia.org/resource/Rob_Andrew,obj,diff,tot
http://dbpedia.org/property/field,http://dbpedia.org/resource/Francesco_Severi,obj,diff,tot
http://dbpedia.org/property/formerpartner,http://dbpedia.org/resource/Ria_Schiffner,obj,diff,tot
http://dbpedia.org/property/education,http://dbpedia.org/resource/Nokë_Sinishtaj,obj,diff,tot
http://dbpedia.org/property/data,http://dbpedia.org/resource/Randy_and_Sharon_Marsh,obj,523,1370
http://dbpedia.org/property/see,http://dbpedia.org/resource/Paul_Ch'eng_Shih-kuang,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Tainan,237,1789
http://dbpedia.org/property/succeeded,http://dbpedia.org/resource/F._Bradford_Morse,http://dbpedia.org/resource/Paul_W._Cronin,249,1802
http://dbpedia.org/property/riding,http://dbpedia.org/resource/Arnold_Chan,http://dbpedia.org/resource/Scarborough—Agincourt,244,1426
http://dbpedia.org/property/prevSeries,http://dbpedia.org/resource/Zahir_Ali,http://dbpedia.org/resource/A1_Grand_Prix,509,1186
http://dbpedia.org/property/nominator,http://dbpedia.org/resource/William_Paterson_(judge),http://dbpedia.org/resource/George_Washington,85,924
